date,ticker,target,next_open,shares,buy_amt,sell_amt,pnl,ret,market_cap,mcap_cutoff
2024-06-27,161890,71820.0,74200.0,139,9982980.0,10210662.0,227682.0,0.02280701754385972,1723170621000.0,823977363600.0009
2024-06-26,194480,67970.0,62700.0,147,9991590.0,9124731.0,-866859.0,-0.08675886420479628,909412866000.0,822222698436.0004
2024-06-04,196170,212750.0,230500.0,47,9999250.0,10725165.0,725915.0,0.07259694477085787,12410181288000.0,809671769628.0002
2024-06-05,204320,46440.0,49000.0,215,9984600.0,10429650.0,445050.0,0.04457364341085279,2329073152000.0,809854596000.0005
2024-06-12,214150,50275.0,53800.0,198,9954450.0,10545876.0,591426.0,0.05941322725012421,3443174122200.0,829600133040.0007
2024-06-03,214370,22085.0,22800.0,452,9982420.0,10202544.0,220124.0,0.02205116594973955,1195158750000.0,811607383380.0001
2024-06-24,214450,154270.0,150700.0,64,9873280.0,9548352.0,-324928.0,-0.03290983340895837,1599440332800.0,812855690240.0001
2024-06-10,222080,11902.0,11900.0,840,9997680.0,9896040.0,-101640.0,-0.010166358595194103,845859971840.0,825537501640.0001
2024-06-11,222080,12726.0,12250.0,785,9989910.0,9520088.0,-469822.0,-0.04702970297029707,873007504720.0,830558819740.0017
2024-06-13,232140,19775.0,21300.0,505,9986375.0,10648935.0,662560.0,0.06634639696586597,1796793165000.0,821313027816.0006
2024-06-07,237690,98700.0,106400.0,101,9968700.0,10638936.0,670236.0,0.06723404255319143,2117254992000.0,824743896744.0001
2024-06-12,259960,262200.0,266500.0,38,9963600.0,10025730.0,62130.0,0.006235697940503382,12690373795000.0,829600133040.0007
2024-06-18,272210,20410.0,21400.0,489,9980490.0,10359954.0,379464.0,0.03802057814796678,4099550741300.0,811881063630.0012
2024-06-04,280360,154800.0,157700.0,64,9907200.0,9991872.0,84672.0,0.008546511627906872,1480284660600.0,809671769628.0002
2024-06-10,280360,161870.0,181100.0,61,9874070.0,10936629.0,1062559.0,0.10761104590103177,1678410714600.0,825537501640.0001
2024-06-05,281820,40490.0,41800.0,246,9960540.0,10179972.0,219432.0,0.02203013089651762,858453029400.0,809854596000.0005
2024-06-26,294870,17682.0,18590.0,565,9990330.0,10398316.0,407986.0,0.040838140481845864,1225217264700.0,822222698436.0004
2024-06-04,298380,25560.0,25150.0,391,9993960.0,9735314.0,-258646.0,-0.025880281690140894,1199708101950.0,809671769628.0002
2024-06-14,307950,157890.0,155300.0,63,9947070.0,9686061.0,-261009.0,-0.02623978719361586,4256202006400.0,813435926880.0002
2024-06-13,310970,16135.0,16040.0,619,9987565.0,9829472.0,-158093.0,-0.015828943290982278,1181250334000.0,821313027816.0006
2024-06-10,317330,44415.0,51000.0,225,9993375.0,11360250.0,1366875.0,0.13677811550151975,1017946026000.0,825537501640.0001
2024-06-21,329180,145730.0,144900.0,68,9909640.0,9754668.0,-154972.0,-0.015638509572497128,12987506870800.0,816830485000.0002
2024-06-26,336370,17222.0,17920.0,580,9988760.0,10289664.0,300904.0,0.030124259667866582,1257592631040.0,822222698436.0004
2024-06-03,357870,54403.5,54400.0,183,9955840.0,9855648.0,-100192.0,-0.010063690755190424,7315885735200.0,811607383380.0001
2024-06-11,361610,46705.0,46550.0,214,9994870.0,9862083.0,-132787.0,-0.013285515469435794,3290383870800.0,830558819740.0017
2024-06-13,375500,35935.0,35500.0,278,9989930.0,9770310.0,-219620.0,-0.021984138026993172,1362015529600.0,821313027816.0006
2024-06-05,383310,66480.0,69700.0,150,9972000.0,10350450.0,378450.0,0.03795126353790623,1057570801200.0,809854596000.0005
2024-06-10,402340,94330.0,89400.0,106,9998980.0,9381636.0,-617344.0,-0.06174069755115019,12100546408000.0,825537501640.0001
2024-06-05,440110,19240.0,19200.0,519,9985560.0,9865152.0,-120408.0,-0.012058212058212003,949010722000.0,809854596000.0005
2024-06-07,440110,20152.0,20700.0,496,9995392.0,10164528.0,169136.0,0.016921397379912717,1012933724000.0,824743896744.0001
2024-06-13,440110,22770.0,21300.0,439,9996030.0,9257193.0,-738837.0,-0.07391304347826089,1067022418000.0,821313027816.0006
2024-06-17,449170,105633.5,105640.0,94,9929549.0,9830858.0,-98691.0,-0.009939081825367846,3752056485900.0,810658899580.0002
2024-06-05,450080,89340.0,101900.0,111,9916740.0,11197791.0,1281051.0,0.12918065815983892,6588088319000.0,809854596000.0005
2024-06-07,450080,112680.0,127300.0,88,9915840.0,11090376.0,1174536.0,0.11845047923322682,8561065553800.0,824743896744.0001
2024-06-11,454910,78370.0,81900.0,127,9952990.0,10297287.0,344297.0,0.034592318489217844,5224490388000.0,830558819740.0017
2024-06-12,454910,85610.0,86900.0,116,9930760.0,9979596.0,48836.0,0.004917649807265612,5587482276000.0,829600133040.0007
2024-06-13,455890,52392.0,52405.0,190,9954480.0,9857380.0,-97100.0,-0.009754351809436512,1669724054460.0,821313027816.0006
2024-06-21,455890,52438.5,52445.0,190,9963315.0,9864904.0,-98410.0,-0.009877284819359788,1691256591360.0,816830485000.0002
2024-06-12,456040,101910.0,104700.0,98,9987180.0,10157994.0,170814.0,0.017103326464527502,948069220500.0,829600133040.0007
2024-06-17,475630,1013858.5,1013955.0,9,9124726.0,9034339.0,-90387.0,-0.00990577087433786,1013354296080.0,810658899580.0002
2024-06-18,610063,52295.0,52290.0,191,9988345.0,9887516.0,-100829.0,-0.010094655320776358,946348907000.0,811881063630.0012
